709	1121
564	893
465	738
209	336
562	890
648	1025
499	791
936	1478
985	1555
95	151
328	523
94	149
229	367
835	1319
241	386
301	480
987	1558
817	1291
810	1280
380	604
335	534
524	831
454	721
917	1448
989	1561
419	666
610	966
312	498
680	1076
420	667
440	699
884	1396
310	495
969	1530
933	1473
10	17
56	90
668	1057
441	700
857	1354
55	88
17	28
678	1073
510	809
836	1321
854	1349
864	1365
860	1358
374	595
215	345
586	928
676	1069
914	1443
315	502
785	1241
999	1577
962	1519
320	510
796	1258
711	1124
816	1289
152	246
922	1456
482	765
270	432
880	1390
168	271
598	947
657	1040
744	1176
572	906
477	757
190	306
940	1484
338	538
226	363
614	972
726	1148
605	958
456	724
755	1194
947	1495
690	1091
220	353
828	1308
547	867
451	716
186	300
951	1501
856	1352
634	1003
890	1406
928	1465
161	260
112	177
902	1424
164	265
38	61
608	963
213	342
73	116
663	1049
219	352
645	1021
22	36
688	1088
732	1157
775	1225
411	653
766	1211
422	670
43	69
299	477
468	743
46	74
714	1129
93	148
57	91
409	650
288	460
398	633
789	1247
496	787
906	1431
607	961
724	1145
967	1527
98	156
979	1545
672	1063
952	1503
583	923
428	680
33	53
412	655
447	710
492	780
259	414
784	1239
937	1479
847	1338
386	614
11	19
177	286
632	1000
45	72
578	915
207	333
340	542
373	593
436	692
944	1490
580	919
763	1206
765	1209
869	1373
323	515
192	309
712	1126
247	396
868	1371
392	623
34	55
839	1325
596	944
476	755
670	1060
552	875
618	978
558	884
566	897
271	433
308	491
58	93
932	1472
813	1285
706	1117
788	1245
965	1523
126	205
815	1288
238	381
912	1440
175	282
770	1217
790	1248
236	378
825	1303
278	444
778	1230
604	956
26	42
416	661
16	27
314	501
725	1146
368	586
313	499
133	216
336	535
490	777
167	270
356	567
141	229
162	262
134	218
957	1511
459	729
532	843
282	451
531	842
758	1198
235	377
948	1497
576	912
628	994
425	675
787	1244
227	364
762	1205
3	6
826	1305
808	1277
403	641
972	1534
889	1404
144	234
225	361
285	455
206	331
258	413
269	430
361	575
306	488
904	1428
745	1178
297	474
964	1522
68	108
910	1437
48	77
248	397
803	1269
13	22
103	163
913	1442
603	955
809	1278
907	1432
287	458
994	1569
375	597
478	758
415	659
554	878
76	121
497	788
49	79
876	1384
205	330
831	1313
837	1322
977	1542
434	689
498	790
135	220
568	900
214	344
862	1362
635	1005
352	560
183	295
529	839
591	936
734	1161
431	685
123	201
827	1307
443	703
114	181
363	578
439	697
502	796
895	1413
924	1459
64	102
194	312
96	152
107	170
19	31
261	418
452	718
221	355
193	311
845	1335
685	1084
541	857
138	224
390	620
956	1509
264	422
629	996
858	1355
395	628
329	524
2	5
823	1300
359	571
705	1115
223	358
559	886
163	264
747	1181
602	953
830	1311
384	611
92	146
615	974
968	1528
946	1494
354	564
344	548
378	601
523	829
504	799
686	1085
405	644
90	143
834	1318
157	254
448	711
210	337
129	210
37	60
797	1259
331	528
150	243
949	1498
927	1464
630	997
701	1109
60	96
424	674
681	1077
807	1275
841	1329
707	1118
538	853
513	813
664	1051
718	1135
262	419
539	854
418	664
527	835
958	1512
647	1024
704	1113
549	870
181	292
617	977
768	1214
506	802
80	127
978	1544
930	1468
242	388
349	556
687	1087
217	348
783	1238
442	702
342	545
204	328
517	820
12	20
387	615
91	145
801	1266
446	708
898	1418
782	1236
821	1297
102	162
561	889
757	1197
365	581
875	1382
237	380
543	861
79	126
943	1489
995	1571
872	1377
101	160
366	582
8	14
255	408
382	608
367	584
228	366
170	275
646	1022
20	33
174	281
938	1481
546	865
116	184
698	1104
942	1487
178	287
993	1567
400	636
594	941
139	226
97	154
675	1068
249	399
212	341
717	1134
963	1520
589	933
59	94
100	159
697	1102
684	1082
29	47
593	939
148	240
925	1461
0	2
920	1453
185	298
216	347
85	135
881	1391
224	359
631	999
376	598
805	1272
5	9
397	631
265	424
18	30
66	105
800	1264
859	1357
272	435
756	1195
997	1574
309	493
522	828
115	182
391	622
413	656
916	1446
199	320
548	868
302	482
130	212
27	44
305	487
772	1220
230	369
894	1412
268	429
850	1343
713	1128
528	837
587	930
509	807
484	768
764	1208
430	683
905	1429
702	1110
779	1231
289	462
699	1106
802	1267
950	1500
861	1360
188	303
417	663
41	66
332	529
715	1131
39	63
460	730
891	1407
147	238
534	846
254	407
493	782
874	1380
853	1347
926	1462
485	769
848	1340
78	124
